"","Farm.ID","AMP","MERO","CIP","AZI","AMI","GEN","TGC","TAZ","FOT","CHL","COL","NAL","TET","TMP","SMX","WM.group","OLS.group","IAC.group","HSC.group","MY.group","SCC.group","CBC.group","DIA.group"
"5","2","2","<=0.03","0.03","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","8","<=2","<=0.25","<=8","2","0","1","2",7300,"120","3","0"
"6","2","2","<=0.03","0.03","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","2","0","1","2",7300,"120","3","0"
"7","2",">32","<=0.03","0.03","8","<=4",">16","<=0.25","<=0.25","<=0.25",">64","<=1","8",">32",">16",">512","2","0","1","2",7300,"120","3","0"
"8","2",">32","<=0.03","0.03","8","<=4","16","<=0.25","<=0.25","<=0.25","64","<=1","8",">32",">16",">512","2","0","1","2",7300,"120","3","0"
"13","4",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","1","1","5",7000,"97","2","4"
"14","4","4","<=0.03","0.03","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","16","<=1","<=4","4","0.5","16","2","1","1","5",7000,"97","2","4"
"15","4",">32","0.06","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","1","1","5",7000,"97","2","4"
"16","4",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","8",">32",">16",">512","2","1","1","5",7000,"97","2","4"
"21","6","2","<=0.03","<=0.015","<=2","<=4","2","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","1","2",7200,"64","7","0"
"22","6","2","<=0.03","<=0.015","<=2","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","1","2",7200,"64","7","0"
"23","6","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","1","1","2",7200,"64","7","0"
"24","6","2","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","2","1","1","2",7200,"64","7","0"
"25","7",">32","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","0.5",">64","<=1","<=4",">32",">16",">512","1","1","1","1",7000,"128","1","4"
"26","7","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","<=0.25","<=8","1","1","1","1",7000,"128","1","4"
"27","7",">32","<=0.03","<=0.015","8","<=4","8","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4",">16",">512","1","1","1","1",7000,"128","1","4"
"28","7",">32","<=0.03","0.25","8","<=4","8","<=0.25","<=0.25","<=0.25",">64","<=1","64","4",">16",">512","1","1","1","1",7000,"128","1","4"
"29","8","2","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","<=0.25","<=8","2","1","1","1",8000,"163","60","0"
"30","8","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","2","1","1","1",8000,"163","60","0"
"31","8","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","1","1",8000,"163","60","0"
"32","8","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","2","1","1","1",8000,"163","60","0"
"41","11","4","<=0.03","0.03","8","<=4","<=0.5","0.5","0.5","<=0.25","16","<=1","<=4",">32","0.5","16","1","1","NA","3",7200,"87","NA","0"
"42","11","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","NA","3",7200,"87","NA","0"
"43","11","8","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","NA","3",7200,"87","NA","0"
"44","11",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2",">16",">512","1","1","NA","3",7200,"87","NA","0"
"45","12","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","1","1","2",7300,"109","60","4"
"46","12","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","0.5","<=0.25","<=8","<=1","<=4","4","0.5","16","2","1","1","2",7300,"109","60","4"
"47","12","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","16","<=1","<=4","<=2","0.5","16","2","1","1","2",7300,"109","60","4"
"48","12",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","1","1","2",7300,"109","60","4"
"49","13","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","16","1","1","NA","5",7900,"179","NA","2"
"50","13","<=1","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","NA","5",7900,"179","NA","2"
"51","13","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","<=0.25","<=8","1","1","NA","5",7900,"179","NA","2"
"52","13",">32","<=0.03","0.25","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1",">64",">32",">16",">512","1","1","NA","5",7900,"179","NA","2"
"57","15",">32","<=0.03","<=0.015","4","<=4",">16","<=0.25","0.5","<=0.25","<=8","<=1","<=4",">32",">16",">512","1","1","0","2",7000,"129","30","1"
"58","15","8","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","16","<=1","<=4","<=2","<=0.25","<=8","1","1","0","2",7000,"129","30","1"
"59","15","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","1","0","2",7000,"129","30","1"
"60","15",">32","<=0.03","<=0.015","4","<=4",">16","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","1","1","0","2",7000,"129","30","1"
