"","Farm.ID","AMP","MERO","CIP","AZI","AMI","GEN","TGC","TAZ","FOT","CHL","COL","NAL","TET","TMP","SMX","WM.group","OLS.group","IAC.group","HSC.group","HSC0","HSC1","HSC2","HSC3","HSC4","HSC5","MY","SCC","CBC","DIA","NRes","MultiR"
"1",2,2,0,0,0,0,1,0,0,0,1,0,0,2,2,2,2,0,1,2,0,0,1,0,0,0,7300,120,3,0,6,TRUE
"5",4,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,1,5,0,0,0,0,0,1,7000,97,2,4,4,TRUE
"9",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,1,0,0,0,7200,64,7,0,0,FALSE
"13",7,3,0,0,0,0,0,0,0,0,2,0,0,1,3,3,1,1,1,1,0,1,0,0,0,0,7000,128,1,4,5,TRUE
"17",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,8000,163,60,0,0,FALSE
"21",11,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,NA,3,0,0,0,1,0,0,7200,87,NA,0,4,TRUE
"25",12,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,0,0,1,0,0,0,7300,109,60,4,4,TRUE
"29",13,1,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,NA,5,0,0,0,0,0,1,7900,179,NA,2,6,TRUE
"33",15,2,0,0,0,0,2,0,0,0,0,0,0,2,2,2,1,1,0,2,0,0,1,0,0,0,7000,129,30,1,5,TRUE
"37",17,3,0,0,0,0,0,0,0,0,1,0,0,3,2,3,2,1,1,1,0,1,0,0,0,0,6500,193,21,0,5,TRUE
"41",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,1,0,0,0,0,0,7500,97,NA,0,0,FALSE
"45",20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,0,1,0,0,0,8000,62,60,5,2,FALSE
"49",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8000,253,112,2,0,FALSE
"53",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,1,0,0,0,0,0,7500,184,NA,0,0,FALSE
"57",27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,7700,123,1,3,2,FALSE
"61",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,0,1,0,0,0,0,7500,92,NA,0,0,FALSE
"65",29,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,1,1,1,0,1,0,0,0,0,8000,178,1,0,5,TRUE
"69",32,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,2,1,NA,0,1,0,0,0,0,0,5000,140,NA,3,3,TRUE
"73",38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,NA,0,1,0,0,0,0,0,7500,43,NA,2,2,FALSE
"77",43,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,8000,76,1,0,4,TRUE
"81",44,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,1,1,NA,1,0,1,0,0,0,0,8000,NA,NA,2,3,TRUE
"85",45,4,0,0,0,0,0,0,0,0,2,0,0,4,0,4,2,0,1,0,1,0,0,0,0,0,7200,217,1,3,4,TRUE
"89",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,7300,398,1,0,0,FALSE
"93",51,3,0,1,0,0,0,0,0,0,1,0,1,3,3,3,2,1,0,4,0,0,0,0,1,0,7200,122,7,3,7,TRUE
"97",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,4,0,0,0,0,1,0,6800,76,NA,1,0,FALSE
"101",54,2,0,0,0,0,0,0,0,0,3,0,0,3,0,3,2,1,1,0,1,0,0,0,0,0,7000,152,1,2,4,TRUE
"105",55,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,5,0,0,0,0,0,1,7066,293,2,1,2,FALSE
"109",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,7000,64,14,0,0,FALSE
"113",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,0,1,0,0,0,0,0,8000,NA,NA,1,0,FALSE
