"","Farm.ID","AMP","MERO","CIP","AZI","AMI","GEN","TGC","TAZ","FOT","CHL","COL","NAL","TET","TMP","SMX","WM.group","OLS.group","IAC.group","HSC.group","HSC0","HSC1","HSC2","HSC3","HSC4","HSC5","MY","SCC","CBC","DIA","NRes","MultiR"
"1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,9000,110,5,0,1,FALSE
"5",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,5,0,0,0,0,0,1,9600,100,NA,1,0,FALSE
"9",5,3,0,0,0,0,0,0,0,0,3,0,0,3,3,3,2,0,1,1,0,1,0,0,0,0,8500,150,7,0,5,TRUE
"13",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,9000,363,1,0,0,FALSE
"17",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,0,1,0,0,0,0,0,8500,212,NA,0,0,FALSE
"21",14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,0,0,1,0,0,0,9000,177,30,0,2,FALSE
"25",16,2,0,0,0,0,1,0,0,0,2,0,0,2,1,2,1,1,1,1,0,1,0,0,0,0,9500,348,60,1,6,TRUE
"29",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,10000,200,7,2,0,FALSE
"33",22,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,NA,3,0,0,0,1,0,0,8700,124,NA,1,3,TRUE
"37",24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,10000,75,2,0,2,FALSE
"41",25,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2,1,0,NA,1,0,1,0,0,0,0,10000,80,NA,1,4,TRUE
"45",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,9000,167,30,3,0,FALSE
"49",31,3,0,0,0,0,0,0,0,0,1,0,0,3,2,3,1,0,1,1,0,1,0,0,0,0,10500,132,1,1,5,TRUE
"53",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8500,98,121,4,0,FALSE
"57",34,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,NA,3,0,0,0,1,0,0,8500,119,NA,2,2,FALSE
"61",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,9000,75,1,4,0,FALSE
"65",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,1,0,0,0,0,0,9000,235,NA,4,0,FALSE
"69",37,2,0,0,0,0,0,0,0,0,1,0,1,2,2,2,1,0,1,2,0,0,1,0,0,0,9000,112,1,3,6,TRUE
"73",39,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,4,0,0,0,0,1,0,9500,NA,1,3,4,TRUE
"77",40,3,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,1,0,0,1,0,0,0,0,0,9000,88,7,2,4,TRUE
"81",41,3,0,1,0,0,0,0,0,0,2,0,1,3,2,3,2,0,1,2,0,0,1,0,0,0,8900,129,1,1,7,TRUE
"85",42,3,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,1,1,0,1,0,0,0,0,0,9500,148,2,0,4,TRUE
"89",47,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,NA,0,1,0,0,0,0,0,9000,93,NA,0,2,FALSE
"93",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,9000,NA,1,1,0,FALSE
"97",49,3,0,0,1,0,0,0,0,0,3,0,0,3,1,3,2,1,NA,0,1,0,0,0,0,0,9000,196,NA,3,6,TRUE
"101",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,11000,128,2,0,0,FALSE
"105",52,4,0,0,0,0,0,0,0,3,4,0,3,4,4,4,2,1,0,0,1,0,0,0,0,0,9500,158,30,4,7,TRUE
"109",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,1,0,1,0,0,0,0,8500,162,NA,3,0,FALSE
"113",59,2,0,0,0,0,0,0,0,0,1,0,0,2,3,3,2,1,0,4,0,0,0,0,1,0,10000,71,4,1,5,TRUE
"117",60,4,0,0,0,0,0,0,0,0,4,0,0,4,0,4,1,1,NA,5,0,0,0,0,0,1,8500,60,NA,3,4,TRUE
