"","Farm.ID","AMP","MERO","CIP","AZI","AMI","GEN","TGC","TAZ","FOT","CHL","COL","NAL","TET","TMP","SMX","WM.group","OLS.group","IAC.group","HSC.group","HSC0","HSC1","HSC2","HSC3","HSC4","HSC5","MY","SCC","CBC","DIA"
"1","1","4","<=0.03","0.06","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","8",">32","<=0.25","<=8","1","0","1","0","1","0","0","0","0","0",9000,"110","5","0"
"2","1","2","<=0.03","0.03","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","0","1","0","1","0","0","0","0","0",9000,"110","5","0"
"3","1","2","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","0","1","0","1","0","0","0","0","0",9000,"110","5","0"
"4","1","4","<=0.03","0.03","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","0","1","0","1","0","0","0","0","0",9000,"110","5","0"
"9","3","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","8","<=2","<=0.25","<=8","2","1","NA","5","0","0","0","0","0","1",9600,"100","NA","1"
"10","3","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","NA","5","0","0","0","0","0","1",9600,"100","NA","1"
"11","3","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","NA","5","0","0","0","0","0","1",9600,"100","NA","1"
"12","3","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","NA","5","0","0","0","0","0","1",9600,"100","NA","1"
"17","5",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25",">64","<=1","<=4",">32",">16",">512","2","0","1","1","0","1","0","0","0","0",8500,"150","7","0"
"18","5","4","<=0.03","0.03","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","<=8","2","0","1","1","0","1","0","0","0","0",8500,"150","7","0"
"19","5",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25",">64","<=1","<=4",">32",">16",">512","2","0","1","1","0","1","0","0","0","0",8500,"150","7","0"
"20","5",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25",">64","<=1","<=4",">32",">16",">512","2","0","1","1","0","1","0","0","0","0",8500,"150","7","0"
"33","9","8","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","1","1","0","1","0","1","0","0","0","0",9000,"363","1","0"
"34","9","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","0","1","0","1","0","0","0","0",9000,"363","1","0"
"35","9","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","1","0","1","0","1","0","0","0","0",9000,"363","1","0"
"36","9","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","1","0","1","0","1","0","0","0","0",9000,"363","1","0"
"37","10","2","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","0","NA","0","1","0","0","0","0","0",8500,"212","NA","0"
"38","10","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","0","NA","0","1","0","0","0","0","0",8500,"212","NA","0"
"39","10","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","2","0","NA","0","1","0","0","0","0","0",8500,"212","NA","0"
"40","10","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","2","0","NA","0","1","0","0","0","0","0",8500,"212","NA","0"
"53","14","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","1","2","0","0","1","0","0","0",9000,"177","30","0"
"54","14","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","1","1","2","0","0","1","0","0","0",9000,"177","30","0"
"55","14","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","1","1","2","0","0","1","0","0","0",9000,"177","30","0"
"56","14","2","<=0.03","<=0.015","4","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","1","1","2","0","0","1","0","0","0",9000,"177","30","0"
"61","16","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","16","<=1","<=4","4","0.5","16","1","1","1","1","0","1","0","0","0","0",9500,"348","60","1"
"62","16",">32","<=0.03","<=0.015","8","<=4","8","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32",">16",">512","1","1","1","1","0","1","0","0","0","0",9500,"348","60","1"
"63","16",">32","<=0.03","<=0.015","<=2","<=4",">16","<=0.25","<=0.25","<=0.25",">64","<=1","<=4",">32","<=0.25",">512","1","1","1","1","0","1","0","0","0","0",9500,"348","60","1"
"64","16","8","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","1","1","1","1","0","1","0","0","0","0",9500,"348","60","1"
"69","18","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","1","16","1","0","1","0","1","0","0","0","0","0",10000,"200","7","2"
"70","18","4","<=0.03","<=0.015","8","<=4","1","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","1","0","1","0","0","0","0","0",10000,"200","7","2"
"71","18","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","1","0","1","0","1","0","0","0","0","0",10000,"200","7","2"
"72","18","4","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","4","0.5","16","1","0","1","0","1","0","0","0","0","0",10000,"200","7","2"
"85","22","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","0","NA","3","0","0","0","1","0","0",8700,"124","NA","1"
"86","22","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","1","16","1","0","NA","3","0","0","0","1","0","0",8700,"124","NA","1"
"87","22","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","0","NA","3","0","0","0","1","0","0",8700,"124","NA","1"
"88","22",">32","<=0.03","<=0.015","8","<=4","<=0.5","0.5","<=0.25","<=0.25","<=8","<=1","<=4",">32","0.5",">512","1","0","NA","3","0","0","0","1","0","0",8700,"124","NA","1"
"93","24","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","16","1","0","0","0","1","0","0","0","0","0",10000,"75","2","0"
