"","Farm.ID","AMP","MERO","CIP","AZI","AMI","GEN","TGC","TAZ","FOT","CHL","COL","NAL","TET","TMP","SMX","WM.group","OLS.group","IAC.group","HSC.group","MY","SCC","CBC","DIA"
"1","1","4","<=0.03","0.06","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","8",">32","<=0.25","<=8","1","0","1","0","9000","110","5","0"
"2","1","2","<=0.03","0.03","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","0","1","0","9000","110","5","0"
"3","1","2","<=0.03","<=0.015","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","1","0","1","0","9000","110","5","0"
"4","1","4","<=0.03","0.03","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","1","0","1","0","9000","110","5","0"
"5","2","2","<=0.03","0.03","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","8","<=2","<=0.25","<=8","2","0","1","2","7300","120","3","0"
"6","2","2","<=0.03","0.03","4","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","0.5","<=8","2","0","1","2","7300","120","3","0"
"7","2",">32","<=0.03","0.03","8","<=4",">16","<=0.25","<=0.25","<=0.25",">64","<=1","8",">32",">16",">512","2","0","1","2","7300","120","3","0"
"8","2",">32","<=0.03","0.03","8","<=4","16","<=0.25","<=0.25","<=0.25","64","<=1","8",">32",">16",">512","2","0","1","2","7300","120","3","0"
"9","3","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","8","<=2","<=0.25","<=8","2","1","NA","5","9600","100","NA","1"
"10","3","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","NA","5","9600","100","NA","1"
"11","3","4","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","NA","5","9600","100","NA","1"
"12","3","2","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4","<=2","<=0.25","<=8","2","1","NA","5","9600","100","NA","1"
"13","4",">32","<=0.03","<=0.015","8","<=4","<=0.5","<=0.25","<=0.25","<=0.25","<=8","<=1","<=4",">32",">16",">512","2","1","1","5","7000","97","2","4"
